大分類コード,中分類コード,小分類コード,細分類コード,項目名
E,21,214,2145,理化学用・工業用陶磁器製造業
E,21,214,2146,陶磁器製タイル製造業
E,21,214,2147,陶磁器絵付業
E,21,214,2148,陶磁器用はい（坏）土製造業
E,21,214,2149,その他の陶磁器・同関連製品製造業
E,21,215,0000,耐火物製造業
E,21,215,2151,耐火れんが製造業
E,21,215,2152,不定形耐火物製造業
E,21,215,2159,その他の耐火物製造業
E,21,216,0000,炭素・黒鉛製品製造業
E,21,216,2161,炭素質電極製造業
E,21,216,2169,その他の炭素・黒鉛製品製造業
E,21,217,0000,研磨材・同製品製造業
E,21,217,2171,研磨材製造業
E,21,217,2172,研削と石製造業
E,21,217,2173,研磨布紙製造業
E,21,217,2179,その他の研磨材・同製品製造業
E,21,218,0000,骨材・石工品等製造業
E,21,218,2181,砕石製造業
E,21,218,2182,再生骨材製造業
E,21,218,2183,人工骨材製造業
